Time	ECG	Heart Rate
200.785	-0.116159	78.4314
200.79	-0.121144	78.4314
200.795	-0.124736	78.4314
200.8	-0.127219	78.4314
200.805	-0.12962	78.4314
200.81	-0.1299	78.4314
200.815	-0.127268	78.4314
200.82	-0.125207	78.4314
200.825	-0.125854	78.4314
200.83	-0.127598	78.4314
200.835	-0.129699	78.4314
200.84	-0.132331	78.4314
200.845	-0.135206	78.4314
200.85	-0.140337	78.4314
200.855	-0.149146	78.4314
200.86	-0.157868	78.4314
200.865	-0.163309	78.4314
200.87	-0.167057	78.4314
200.875	-0.169795	78.4314
200.88	-0.169678	78.4314
200.885	-0.167593	78.4314
200.89	-0.166153	78.4314
200.895	-0.165356	78.4314
200.9	-0.165543	78.4314
200.905	-0.168031	78.4314
200.91	-0.170428	78.4314
200.915	-0.170365	78.4314
200.92	-0.170263	78.4314
200.925	-0.171301	78.4314
200.93	-0.171577	78.4314
200.935	-0.171385	78.4314
200.94	-0.172117	78.4314
200.945	-0.173243	78.4314
200.95	-0.174892	78.4314
200.955	-0.177625	78.4314
200.96	-0.178151	78.4314
200.965	-0.173931	78.4314
200.97	-0.166511	78.4314
200.975	-0.156865	78.4314
200.98	-0.144047	78.4314
200.985	-0.127443	78.4314
200.99	-0.10702	78.4314
200.995	-0.0833486	78.4314
201	-0.0609611	78.4314
201.005	-0.0462775	78.4314
201.01	-0.0415922	78.4314
201.015	-0.0467832	78.4314
201.02	-0.0621766	78.4314
201.025	-0.0846337	78.4314
201.03	-0.108662	78.4314
201.035	-0.133777	78.4314
201.04	-0.161291	78.4314
201.045	-0.187498	78.4314
201.05	-0.208657	78.4314
201.055	-0.225012	78.4314
201.06	-0.2361	78.4314
201.065	-0.241055	78.4314
201.07	-0.242039	78.4314
201.075	-0.240341	78.4314
201.08	-0.235674	78.4314
201.085	-0.231778	78.4314
201.09	-0.234291	78.4314
201.095	-0.244163	78.4314
201.1	-0.255902	78.4314
201.105	-0.255088	78.4314
201.11	-0.213118	78.4314
201.115	-0.100504	78.4314
201.12	0.0955667	78.4314
201.125	0.35616	78.4314
201.13	0.616278	78.4314
201.135	0.795238	78.4314
201.14	0.848217	85.7143
201.145	0.781153	85.7143
201.15	0.631207	85.7143
201.155	0.443934	85.7143
201.16	0.260278	85.7143
201.165	0.106555	85.7143
201.17	-0.00918759	85.7143
201.175	-0.088417	85.7143
201.18	-0.135727	85.7143
201.185	-0.160387	85.7143
201.19	-0.172041	85.7143
201.195	-0.175474	85.7143
201.2	-0.174928	85.7143
201.205	-0.175332	85.7143
201.21	-0.177048	85.7143
201.215	-0.177766	85.7143
201.22	-0.177947	85.7143
201.225	-0.178484	85.7143
201.23	-0.178818	85.7143
201.235	-0.179959	85.7143
201.24	-0.182421	85.7143
201.245	-0.183012	85.7143
201.25	-0.180119	85.7143
201.255	-0.175338	85.7143
201.26	-0.168185	85.7143
201.265	-0.158063	85.7143
201.27	-0.147879	85.7143
201.275	-0.139347	85.7143
201.28	-0.130769	85.7143
201.285	-0.122194	85.7143
201.29	-0.114047	85.7143
201.295	-0.103516	85.7143
201.3	-0.0899154	85.7143
201.305	-0.0762755	85.7143
201.31	-0.0622678	85.7143
201.315	-0.0458298	85.7143
201.32	-0.0281768	85.7143
201.325	-0.00983286	85.7143
201.33	0.0112138	85.7143
201.335	0.034784	85.7143
201.34	0.059731	85.7143
201.345	0.0875171	85.7143
201.35	0.118141	85.7143
201.355	0.148754	85.7143
201.36	0.178785	85.7143
201.365	0.208838	85.7143
201.37	0.236531	85.7143
201.375	0.260116	85.7143
201.38	0.280316	85.7143
201.385	0.293988	85.7143
201.39	0.296059	85.7143
201.395	0.286639	85.7143
201.4	0.267604	85.7143
201.405	0.239463	85.7143
201.41	0.204799	85.7143
201.415	0.166828	85.7143
201.42	0.126036	85.7143
201.425	0.0844426	85.7143
201.43	0.0467602	85.7143
201.435	0.0144098	85.7143
201.44	-0.0136915	85.7143
201.445	-0.0362291	85.7143
201.45	-0.0525772	85.7143
201.455	-0.0641394	85.7143
201.46	-0.0702594	85.7143
201.465	-0.0708068	85.7143
201.47	-0.0699013	85.7143
201.475	-0.0702206	85.7143
